No_Ruas,Nama_Ruas_Jalan,Kec_Yang_Dilalui,Panjang_Ruas(Km),Lebar_Ruas(m),Aspal,Beton,Kerikil,Tanah,Rasio_Baik,Rasio_Rusak,Permukaan_Dominan
34_001K,JL. Gunung Kinibalu I (Samarinda),Samarinda,0.12,9,0.12,0.0,0.0,0.0,0.8333333333333334,0.0,Aspal
34_002K,JL. JENDERAL SUDIRMAN II (SAMARINDA),Samarinda,0.27,11,0.27,0.0,0.0,0.0,0.0,0.0,Aspal
34_003K,JL. AWANG LONG I (SAMARINDA),Samarinda,0.44,11,0.44,0.0,0.0,0.0,1.0,0.0,Aspal
34_004K,JL. TENGKAWANG (SAMARINDA),Samarinda,0.58,8,0.58,0.0,0.0,0.0,1.0,0.0,Aspal
34_005K,JL. PANGERAN SURYANATA ( SAMARINDA ),Samarinda,9.16,8-14,4.75,4.41,0.0,0.0,0.3209606986899563,0.04366812227074236,Aspal
34_006K,JL. MT. HARYONO (SAMARINDA),Samarinda,2.57,7.5-12.5,2.27,0.3,0.0,0.0,0.41634241245136194,0.0,Aspal
34_007K,JL. TEUKU UMAR (SAMARINDA),Samarinda,3.96,8-14.5,0.07,3.89,0.0,0.0,0.06060606060606061,0.0,Beton
34_008K,JL. UNTUNG SUROPATI (SAMARINDA),Samarinda,1.46,11-20,0.3,1.16,0.0,0.0,0.0,0.0,Beton
34_009K,JL. KH. MAS MANSYUR (SAMARINDA),Samarinda,2.93,7-10,0.0,2.93,0.0,0.0,0.0,0.0,Beton
34_010K,JL. K.H HASYIM ASHARI (SAMARINDA),Samarinda,0.47,7,0.0,0.47,0.0,0.0,0.0,0.0,Beton
34_011K,JL. TERATAI (SAMARINDA),Samarinda,0.65,7-10,0.0,0.65,0.0,0.0,0.0,0.0,Beton
34_012K,JL. TELUK AMBULUNG (SAMARINDA),Samarinda,0.42,8,0.0,0.42,0.0,0.0,0.0,0.2380952380952381,Beton
34_013K,JL. HARTATI (SAMARINDA),Samarinda,0.7,8,0.0,0.7,0.0,0.0,0.0,0.0,Beton
34_014K,JL. JEMBATAN MAHAKAM ULU,Samarinda,1.47,7-17,1.47,0.0,0.0,0.0,0.0,0.0,Aspal
34_015,JL. STADION PALARAN,Samarinda,1.68,14-20,1.68,0.0,0.0,0.0,1.0,0.0,Aspal
34_016,JL. LINGKAR STADION PALARAN,Samarinda,3.38,20,0.0,3.38,0.0,0.0,0.7337278106508875,0.26627218934911245,Beton
34_017,JL. SIMPANG PASIR (SAMARINDA),Samarinda,4.87,7,0.0,4.87,0.0,0.0,0.12320328542094455,0.25667351129363447,Beton
34_018,JL. APT. PRANOTO (SAMARINDA),Samarinda,1.9,18,1.67,0.23,0.0,0.0,0.10526315789473685,0.0,Aspal
34_019,JL. CIPTO MANGUN KUSUMO (SAMARINDA),Samarinda,9.53,6-23,8.85,0.68,0.0,0.0,0.0,0.0,Aspal
34_020K,JL. MOEIS HASAN (SAMARINDA),Samarinda,2.36,19,0.0,2.36,0.0,0.0,0.0,0.0,Beton
34_021K,JL. KADRIE OENING (SAMARINDA),Samarinda,1.79,7-12,0.73,1.07,0.0,0.0,0.0,0.16201117318435754,Beton
34_022K,Jl. R. SOEPRAPTO (SAMARINDA),Samarinda,1.1,14,1.1,0.0,0.0,0.0,0.0,0.0,Aspal
34_023K,Jl. S. PARMAN (SAMARINDA),Samarinda,1.1,14-20,0.85,0.25,0.0,0.0,0.0,0.0,Aspal
34_024K,Jl. AHMAD YANI (SAMARINDA),Samarinda,2.0,14,2.0,0.0,0.0,0.0,0.0,0.0,Aspal
34_025K,JL. D.I. PANDJAITAN II (SAMARINDA),Samarinda,1.03,14,1.03,0.0,0.0,0.0,0.0,0.0,Aspal
34_026,SIMP. 3 RAPAK INDAH - SIMP. 4 M. SAID (RING ROAD I SAMARINDA),Samarinda,2.05,14,2.05,0.0,0.0,0.0,0.6585365853658538,0.0,Aspal
34_027,JL. NUSYIRWAN ISMAIL (RING ROAD II SAMARINDA),Samarinda,5.66,14,2.81,2.85,0.0,0.0,0.0,0.08833922261484099,Beton
34_028,JL. HM. ARDANS (RINGROAD III SAMARINDA),Samarinda,5.07,14,3.65,1.42,0.0,0.0,0.7278106508875739,0.0,Aspal
34_029K,JL. KH. WAHID HASYIM II (SAMARINDA),Samarinda,2.0,10,0.99,1.01,0.0,0.0,0.75,0.0,Beton
34_030,JL. BATU BESAUNG (SAMARINDA),Samarinda,20.9,5-7,4.2,16.05,0.0,0.65,0.2291866028708134,0.14210526315789476,Beton
34_031,BTS. SAMARINDA - SIMP. 4 SAMBERA,Kutai Kartanegara,12.59,6-8,1.8,10.6,0.19,0.0,0.0,0.24861000794281174,Beton
34_032,SIMP. 4 SAMBERA - MUARA BADAK,Kutai Kartanegara,18.0,7,16.62,1.38,0.0,0.0,0.0,0.022222222222222223,Aspal
34_033,MUARA BADAK - BTS. BONTANG,Kutai Kartanegara,52.77,5-6,15.22,37.56,0.0,0.0,0.021413682016297134,0.15652833049080916,Beton
34_034K,JL. LETJEN URIP SUMOHARJO (BONTANG),Bontang,6.21,14,2.96,3.25,0.0,0.0,0.46698872785829304,0.1690821256038647,Beton
34_035K,JL. MOH. ROEM (BONTANG),Bontang,5.17,14,5.17,0.0,0.0,0.0,0.19342359767891684,0.13539651837524178,Aspal
34_036K,JL. IR. SOEKARNO HATTA (BONTANG),Bontang,10.91,14,9.63,1.28,0.0,0.0,0.10540788267644362,0.11274060494958753,Aspal
34_037,BTS. KUTIM - PELABUHAN LHOK TUAN,Bontang,4.31,13-14,4.31,0.0,0.0,0.0,0.0,0.0,Aspal
34_038,SIMP. 4 BATU BESAUNG - BTS. KUKAR,Samarinda,2.72,7,0.0,2.72,0.0,0.0,1.0,0.0,Beton
34_039,BTS. SAMARINDA - SIMP. 3 L2,Kutai Kartanegara,2.94,6-7,0.0,2.94,0.0,0.0,0.0,0.034013605442176874,Beton
34_040K,JL. PANGERAN SURIANSYAH (SAMARINDA),Samarinda,0.62,6-10,0.28,0.35,0.0,0.0,0.0,0.0,Beton
34_041,SAMARINDA - ANGGANA,Samarinda,18.1,7,10.34,7.76,0.0,0.0,0.5972375690607734,0.0,Aspal
34_042,SAMARINDA SEBERANG - JEMBATAN SANGA SANGA,Samarinda,24.16,7-14,12.32,11.84,0.0,0.0,0.21523178807947022,0.005794701986754967,Aspal
34_043,JEMBATAN SANGA SANGA - DONDANG,Kutai Kartanegara,18.02,7,4.88,12.89,0.25,0.0,0.5194228634850167,0.013873473917869035,Beton
34_044,DONDANG - SIMP. SAMBOJA,Kutai Kartanegara,44.67,6-7,23.01,21.66,0.0,0.0,0.13633310946944258,0.19386612939332884,Aspal
34_045,SIMP. SAMBOJA - KM. 38,Kutai Kartanegara,7.1,7-8,5.91,1.19,0.0,0.0,0.0,0.0,Aspal
34_046,SIMP. SAMBOJA -BTS. BALIKPAPAN,Kutai Kartanegara,16.21,6-7,15.09,1.13,0.0,0.0,0.5052436767427513,0.012338062924120914,Aspal
34_047,SIMP. 3 KOTA BANGUN - KOTA BANGUN,Kutai Kartanegara,25.78,4.5-7,15.55,10.23,0.0,0.0,0.5985259891388673,0.04848719937936385,Aspal
34_048,SIMP. 3 PATUNG LEMBUSWANA - SIMP. 3 SEBULU,Kutai Kartanegara,44.14,7,10.89,33.25,0.0,0.0,0.2186225645672859,0.0,Beton
